,0
authority,BxTExiVRt9EHe4b47ZDQLDGxee1hPexvkmaDFMLZTDvv
delegate,11111111111111111111111111111111
last_add_perp_lp_shares_ts,0
total_deposits,65365333058
total_withdraws,25011216540
total_social_loss,0
settled_perp_pnl,36934627065
cumulative_spot_fees,0
cumulative_perp_funding,3170246947
liquidation_margin_freed,0
last_active_slot,185716606
next_order_id,55569233
max_margin_ratio,0
next_liquidation_id,1
sub_account_id,0
status,UserStatus.Active()
is_margin_trading_enabled,False
idle,False
0.order.auction_duration,0
0.order.auction_end_price,0
0.order.auction_start_price,0
0.order.base_asset_amount,44800000000
0.order.base_asset_amount_filled,0
0.order.direction,PositionDirection.Long()
0.order.existing_position_direction,PositionDirection.Short()
0.order.immediate_or_cancel,False
0.order.market_index,3
0.order.market_type,MarketType.Perp()
0.order.max_ts,1680258107
0.order.oracle_price_offset,0
0.order.order_id,55569225
0.order.order_type,OrderType.Limit()
0.order.post_only,True
0.order.price,11256000
0.order.quote_asset_amount_filled,0
0.order.reduce_only,False
0.order.slot,185716606
0.order.status,OrderStatus.Open()
0.order.trigger_condition,OrderTriggerCondition.Above()
0.order.trigger_price,0
0.order.user_order_id,0
0.perp.base_asset_amount,-2674800000000.0
0.perp.last_base_asset_amount_per_lp,0.0
0.perp.last_cumulative_funding_rate,997476236.0
0.perp.last_quote_asset_amount_per_lp,0.0
0.perp.lp_shares,0.0
0.perp.market_index,0.0
0.perp.open_asks,-2985900000000.0
0.perp.open_bids,8335600000000.0
0.perp.open_orders,8.0
0.perp.quote_asset_amount,54409503586.0
0.perp.quote_break_even_amount,55137463309.0
0.perp.quote_entry_amount,55066493966.0
0.perp.remainder_base_asset_amount,0.0
0.perp.settled_pnl,10575062648.0
0.spot.balance_type,SpotBalanceType.Deposit()
0.spot.cumulative_deposits,40354116518.0
0.spot.market_index,0.0
0.spot.open_asks,0.0
0.spot.open_bids,0.0
0.spot.open_orders,0.0
0.spot.scaled_balance,76981247618946.0
1.order.auction_duration,0
1.order.auction_end_price,0
1.order.auction_start_price,0
1.order.base_asset_amount,44000000000
1.order.base_asset_amount_filled,0
1.order.direction,PositionDirection.Short()
1.order.existing_position_direction,PositionDirection.Short()
1.order.immediate_or_cancel,False
1.order.market_index,3
1.order.market_type,MarketType.Perp()
1.order.max_ts,1680258107
1.order.oracle_price_offset,0
1.order.order_id,55569226
1.order.order_type,OrderType.Limit()
1.order.post_only,True
1.order.price,11269000
1.order.quote_asset_amount_filled,0
1.order.reduce_only,False
1.order.slot,185716606
1.order.status,OrderStatus.Open()
1.order.trigger_condition,OrderTriggerCondition.Above()
1.order.trigger_price,0
1.order.user_order_id,0
1.perp.base_asset_amount,-6363000000.0
1.perp.last_base_asset_amount_per_lp,0.0
1.perp.last_cumulative_funding_rate,40376628279.0
1.perp.last_quote_asset_amount_per_lp,0.0
1.perp.lp_shares,0.0
1.perp.market_index,2.0
1.perp.open_asks,-4687000000.0
1.perp.open_bids,10449000000.0
1.perp.open_orders,8.0
1.perp.quote_asset_amount,11592798539.0
1.perp.quote_break_even_amount,11470989930.0
1.perp.quote_entry_amount,11473062773.0
1.perp.remainder_base_asset_amount,0.0
1.perp.settled_pnl,3465511132.0
1.spot.balance_type,SpotBalanceType.Deposit()
1.spot.cumulative_deposits,0.0
1.spot.market_index,0.0
1.spot.open_asks,0.0
1.spot.open_bids,0.0
1.spot.open_orders,0.0
1.spot.scaled_balance,0.0
10.order.auction_duration,0
10.order.auction_end_price,0
10.order.auction_start_price,0
10.order.base_asset_amount,1194000000
10.order.base_asset_amount_filled,0
10.order.direction,PositionDirection.Long()
10.order.existing_position_direction,PositionDirection.Short()
10.order.immediate_or_cancel,False
10.order.market_index,2
10.order.market_type,MarketType.Perp()
10.order.max_ts,1680258108
10.order.oracle_price_offset,0
10.order.order_id,55569219
10.order.order_type,OrderType.Limit()
10.order.post_only,True
10.order.price,1795390000
10.order.quote_asset_amount_filled,0
10.order.reduce_only,False
10.order.slot,185716604
10.order.status,OrderStatus.Open()
