,0
authority,QMTZFSfVwtHbXXBpsjpU5j2VCEdU8vfjyYXwNbHCdiX
delegate,FetTyW8xAYfd33x4GMHoE7hTuEdWLj1fNnhJuyVMUGGa
last_add_perp_lp_shares_ts,0
total_deposits,63002329350
total_withdraws,0
total_social_loss,0
settled_perp_pnl,13277669181
cumulative_spot_fees,-2154073446
cumulative_perp_funding,720484215
liquidation_margin_freed,0
last_active_slot,187139610
next_order_id,2796499
max_margin_ratio,0
next_liquidation_id,1
sub_account_id,0
status,UserStatus.Active()
is_margin_trading_enabled,True
idle,False
0.order.auction_duration,0
0.order.auction_end_price,0
0.order.auction_start_price,0
0.order.base_asset_amount,447900000000
0.order.base_asset_amount_filled,0
0.order.direction,PositionDirection.Long()
0.order.existing_position_direction,PositionDirection.Short()
0.order.immediate_or_cancel,False
0.order.market_index,3
0.order.market_type,MarketType.Perp()
0.order.max_ts,0
0.order.oracle_price_offset,4952
0.order.order_id,2796478
0.order.order_type,OrderType.Limit()
0.order.post_only,True
0.order.price,0
0.order.quote_asset_amount_filled,0
0.order.reduce_only,False
0.order.slot,187139603
0.order.status,OrderStatus.Open()
0.order.trigger_condition,OrderTriggerCondition.Above()
0.order.trigger_price,0
0.order.user_order_id,0
0.perp.base_asset_amount,-1802100000000.0
0.perp.last_base_asset_amount_per_lp,0.0
0.perp.last_cumulative_funding_rate,1140006884.0
0.perp.last_quote_asset_amount_per_lp,0.0
0.perp.lp_shares,0.0
0.perp.market_index,0.0
0.perp.open_asks,-1088200000000.0
0.perp.open_bids,3158000000000.0
0.perp.open_orders,6.0
0.perp.quote_asset_amount,37170734441.0
0.perp.quote_break_even_amount,36868781772.0
0.perp.quote_entry_amount,36847475499.0
0.perp.remainder_base_asset_amount,0.0
0.perp.settled_pnl,-988452601.0
0.spot.balance_type,SpotBalanceType.Deposit()
0.spot.cumulative_deposits,22912383108.0
0.spot.market_index,0.0
0.spot.open_asks,0.0
0.spot.open_bids,0.0
0.spot.open_orders,0.0
0.spot.scaled_balance,33938257321395.0
1.order.auction_duration,0
1.order.auction_end_price,0
1.order.auction_start_price,0
1.order.base_asset_amount,244100000000
1.order.base_asset_amount_filled,0
1.order.direction,PositionDirection.Long()
1.order.existing_position_direction,PositionDirection.Short()
1.order.immediate_or_cancel,False
1.order.market_index,0
1.order.market_type,MarketType.Perp()
1.order.max_ts,0
1.order.oracle_price_offset,39760
1.order.order_id,2796484
1.order.order_type,OrderType.Limit()
1.order.post_only,True
1.order.price,0
1.order.quote_asset_amount_filled,0
1.order.reduce_only,False
1.order.slot,187139603
1.order.status,OrderStatus.Open()
1.order.trigger_condition,OrderTriggerCondition.Above()
1.order.trigger_price,0
1.order.user_order_id,0
1.perp.base_asset_amount,-263800000000.0
1.perp.last_base_asset_amount_per_lp,0.0
1.perp.last_cumulative_funding_rate,63899144.0
1.perp.last_quote_asset_amount_per_lp,0.0
1.perp.lp_shares,0.0
1.perp.market_index,3.0
1.perp.open_asks,-1321200000000.0
1.perp.open_bids,2001400000000.0
1.perp.open_orders,6.0
1.perp.quote_asset_amount,2948293416.0
1.perp.quote_break_even_amount,2943142947.0
1.perp.quote_entry_amount,2943901375.0
1.perp.remainder_base_asset_amount,0.0
1.perp.settled_pnl,111263508.0
1.spot.balance_type,SpotBalanceType.Deposit()
1.spot.cumulative_deposits,1757613000000.0
1.spot.market_index,1.0
1.spot.open_asks,-15000000000.0
1.spot.open_bids,50242000000.0
1.spot.open_orders,2.0
1.spot.scaled_balance,1730963374143.0
10.order.auction_duration,0
10.order.auction_end_price,0
10.order.auction_start_price,0
10.order.base_asset_amount,200000000
10.order.base_asset_amount_filled,0
10.order.direction,PositionDirection.Short()
10.order.existing_position_direction,PositionDirection.Short()
10.order.immediate_or_cancel,False
10.order.market_index,2
10.order.market_type,MarketType.Perp()
10.order.max_ts,0
10.order.oracle_price_offset,2240105
10.order.order_id,2796495
10.order.order_type,OrderType.Limit()
10.order.post_only,True
10.order.price,0
10.order.quote_asset_amount_filled,0
10.order.reduce_only,False
10.order.slot,187139603
10.order.status,OrderStatus.Open()
10.order.trigger_condition,OrderTriggerCondition.Above()
10.order.trigger_price,0
10.order.user_order_id,0
11.order.auction_duration,0
11.order.auction_end_price,0
11.order.auction_start_price,0
11.order.base_asset_amount,1062200000
11.order.base_asset_amount_filled,0
11.order.direction,PositionDirection.Long()
11.order.existing_position_direction,PositionDirection.Long()
11.order.immediate_or_cancel,False
11.order.market_index,1
11.order.market_type,MarketType.Perp()
11.order.max_ts,0
11.order.oracle_price_offset,-1829990
11.order.order_id,2796474
11.order.order_type,OrderType.Limit()
11.order.post_only,True
11.order.price,0
11.order.quote_asset_amount_filled,0
11.order.reduce_only,False
11.order.slot,187139603
11.order.status,OrderStatus.Open()
11.order.trigger_condition,OrderTriggerCondition.Above()
11.order.trigger_price,0
11.order.user_order_id,0
12.order.auction_duration,0
12.order.auction_end_price,0
12.order.auction_start_price,0
12.order.base_asset_amount,178900000
12.order.base_asset_amount_filled,0
12.order.direction,PositionDirection.Short()
12.order.existing_position_direction,PositionDirection.Long()
12.order.immediate_or_cancel,False
12.order.market_index,1
12.order.market_type,MarketType.Perp()
12.order.max_ts,0
12.order.oracle_price_offset,34921358
12.order.order_id,2796475
12.order.order_type,OrderType.Limit()
12.order.post_only,True
12.order.price,0
12.order.quote_asset_amount_filled,0
12.order.reduce_only,False
12.order.slot,187139603
12.order.status,OrderStatus.Open()
12.order.trigger_condition,OrderTriggerCondition.Above()
12.order.trigger_price,0
12.order.user_order_id,0
13.order.auction_duration,0
13.order.auction_end_price,0
13.order.auction_start_price,0
13.order.base_asset_amount,1237700000
13.order.base_asset_amount_filled,0
13.order.direction,PositionDirection.Short()
13.order.existing_position_direction,PositionDirection.Long()
13.order.immediate_or_cancel,False
13.order.market_index,1
13.order.market_type,MarketType.Perp()
13.order.max_ts,0
13.order.oracle_price_offset,48938486
13.order.order_id,2796476
13.order.order_type,OrderType.Limit()
13.order.post_only,True
13.order.price,0
13.order.quote_asset_amount_filled,0
13.order.reduce_only,False
13.order.slot,187139603
13.order.status,OrderStatus.Open()
13.order.trigger_condition,OrderTriggerCondition.Above()
13.order.trigger_price,0
13.order.user_order_id,0
14.order.auction_duration,0
14.order.auction_end_price,0
14.order.auction_start_price,0
14.order.base_asset_amount,18300000000
14.order.base_asset_amount_filled,0
14.order.direction,PositionDirection.Short()
14.order.existing_position_direction,PositionDirection.Short()
14.order.immediate_or_cancel,False
14.order.market_index,0
14.order.market_type,MarketType.Perp()
14.order.max_ts,0
14.order.oracle_price_offset,53335
14.order.order_id,2796486
14.order.order_type,OrderType.Limit()
14.order.post_only,True
14.order.price,0
14.order.quote_asset_amount_filled,0
14.order.reduce_only,False
14.order.slot,187139603
14.order.status,OrderStatus.Open()
14.order.trigger_condition,OrderTriggerCondition.Above()
14.order.trigger_price,0
14.order.user_order_id,0
15.order.auction_duration,0
15.order.auction_end_price,0
15.order.auction_start_price,0
15.order.base_asset_amount,459000000
15.order.base_asset_amount_filled,0
15.order.direction,PositionDirection.Long()
15.order.existing_position_direction,PositionDirection.Short()
15.order.immediate_or_cancel,False
15.order.market_index,2
15.order.market_type,MarketType.Perp()
15.order.max_ts,0
15.order.oracle_price_offset,657851
15.order.order_id,2796496
15.order.order_type,OrderType.Limit()
15.order.post_only,False
15.order.price,0
15.order.quote_asset_amount_filled,0
15.order.reduce_only,False
15.order.slot,187139603
15.order.status,OrderStatus.Open()
15.order.trigger_condition,OrderTriggerCondition.Above()
15.order.trigger_price,0
15.order.user_order_id,0
16.order.auction_duration,0
16.order.auction_end_price,0
16.order.auction_start_price,0
16.order.base_asset_amount,11846000000
16.order.base_asset_amount_filled,0
16.order.direction,PositionDirection.Short()
16.order.existing_position_direction,PositionDirection.Short()
16.order.immediate_or_cancel,False
16.order.market_index,2
16.order.market_type,MarketType.Perp()
16.order.max_ts,0
16.order.oracle_price_offset,3177065
16.order.order_id,2796497
16.order.order_type,OrderType.Limit()
16.order.post_only,True
16.order.price,0
16.order.quote_asset_amount_filled,0
16.order.reduce_only,False
16.order.slot,187139603
16.order.status,OrderStatus.Open()
16.order.trigger_condition,OrderTriggerCondition.Above()
16.order.trigger_price,0
16.order.user_order_id,0
17.order.auction_duration,0
17.order.auction_end_price,0
17.order.auction_start_price,0
17.order.base_asset_amount,41800000000
17.order.base_asset_amount_filled,0
17.order.direction,PositionDirection.Long()
17.order.existing_position_direction,PositionDirection.Short()
17.order.immediate_or_cancel,False
17.order.market_index,0
17.order.market_type,MarketType.Perp()
17.order.max_ts,0
17.order.oracle_price_offset,19203
17.order.order_id,2796487
17.order.order_type,OrderType.Limit()
17.order.post_only,False
17.order.price,0
17.order.quote_asset_amount_filled,0
17.order.reduce_only,False
17.order.slot,187139603
17.order.status,OrderStatus.Open()
17.order.trigger_condition,OrderTriggerCondition.Above()
17.order.trigger_price,0
17.order.user_order_id,0
18.order.auction_duration,0
18.order.auction_end_price,0
18.order.auction_start_price,0
18.order.base_asset_amount,1069900000000
18.order.base_asset_amount_filled,0
18.order.direction,PositionDirection.Short()
18.order.existing_position_direction,PositionDirection.Short()
18.order.immediate_or_cancel,False
18.order.market_index,0
18.order.market_type,MarketType.Perp()
18.order.max_ts,0
18.order.oracle_price_offset,63667
18.order.order_id,2796488
18.order.order_type,OrderType.Limit()
18.order.post_only,True
18.order.price,0
18.order.quote_asset_amount_filled,0
18.order.reduce_only,False
18.order.slot,187139603
18.order.status,OrderStatus.Open()
18.order.trigger_condition,OrderTriggerCondition.Above()
18.order.trigger_price,0
18.order.user_order_id,0
19.order.auction_duration,0
19.order.auction_end_price,0
19.order.auction_start_price,0
19.order.base_asset_amount,1287700000000
19.order.base_asset_amount_filled,0
19.order.direction,PositionDirection.Short()
19.order.existing_position_direction,PositionDirection.Short()
19.order.immediate_or_cancel,False
19.order.market_index,3
19.order.market_type,MarketType.Perp()
19.order.max_ts,0
19.order.oracle_price_offset,15139
19.order.order_id,2796482
19.order.order_type,OrderType.Limit()
19.order.post_only,True
19.order.price,0
19.order.quote_asset_amount_filled,0
19.order.reduce_only,False
