,0
authority,7y2bkBA9jukrM8AGEXQA9fzAxNu7y5ieY88WcAMYV8DF
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,4773641664
taker_volume30d,35068052291
filler_volume30d,0
last_maker_volume30d_ts,1680923369
last_taker_volume30d_ts,1680923446
last_filler_volume30d_ts,1680273111
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,40689926
userfees.total_fee_rebate,1080831
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
