,0
authority,7y2bkBA9jukrM8AGEXQA9fzAxNu7y5ieY88WcAMYV8DF
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,3037552569
taker_volume30d,23608921379
filler_volume30d,0
last_maker_volume30d_ts,1680554292
last_taker_volume30d_ts,1680554350
last_filler_volume30d_ts,1680273111
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,25153052
userfees.total_fee_rebate,622163
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
