,0
authority,BMQC6GP4t6Zk3q1FbF8g2cms8CuZuGu4RJeQHg8buXJx
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,11525288011
taker_volume30d,66949368577
filler_volume30d,0
last_maker_volume30d_ts,1672770490
last_taker_volume30d_ts,1672754725
last_filler_volume30d_ts,1672384142
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,71766515
userfees.total_fee_rebate,2380377
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
