,0
authority,C8juJsU1wxepGZ2nXX5EaMkFz3gzBmUKv3brKwevaz2L
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,11366833486
taker_volume30d,6022508472
filler_volume30d,0
last_maker_volume30d_ts,1675975974
last_taker_volume30d_ts,1675975549
last_filler_volume30d_ts,1674923185
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,7902712
userfees.total_fee_rebate,2822380
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
