,0
authority,CrV1JnkWjESrP9XFYZrC868EC2QnxKBBAwPeEJvBDRNE
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,649412701
taker_volume30d,1411113024
filler_volume30d,0
last_maker_volume30d_ts,1675983068
last_taker_volume30d_ts,1674416239
last_filler_volume30d_ts,1671881097
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1997184
userfees.total_fee_rebate,305133
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
