,0
authority,HAXX9mqJhWJPoTizUqEfwwi8j3PpAdg2tW3wBCK1b2Jc
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,71351597
taker_volume30d,676891617
filler_volume30d,0
last_maker_volume30d_ts,1676701561
last_taker_volume30d_ts,1677161131
last_filler_volume30d_ts,1671555129
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1373339
userfees.total_fee_rebate,40046
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
