,0
authority,3vWGrBscFsdXB4itU1xYKsL6ysSScDkeCv86PBGiTpoZ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,20477507502
taker_volume30d,86807697166
filler_volume30d,0
last_maker_volume30d_ts,1674239141
last_taker_volume30d_ts,1674239439
last_filler_volume30d_ts,1671216447
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,100738388
userfees.total_fee_rebate,5157007
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
