,0
authority,A443JrZHBGqoWyzgXcXnMBQBsQMXY2vqx4KgY4xaMgv2
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,112710498095
taker_volume30d,115712437153
filler_volume30d,0
last_maker_volume30d_ts,1677070141
last_taker_volume30d_ts,1677069444
last_filler_volume30d_ts,1670428561
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,218371499
userfees.total_fee_rebate,28503008
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
