,0
authority,FRbeFwhUYCiHW5oP26mad8KND7CCYDbfnoNxX7GuXVp8
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1552063120
taker_volume30d,5320427902
filler_volume30d,0
last_maker_volume30d_ts,1671074230
last_taker_volume30d_ts,1671072564
last_filler_volume30d_ts,1668034911
if_staked_quote_asset_amount,1551803134
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,4468610
userfees.total_fee_rebate,399130
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
