,0
authority,HDFigdD85qwkoT18QF2Yj4i7MjgnQ5nJyirphpWe1PBi
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1175927276
taker_volume30d,13183165613
filler_volume30d,0
last_maker_volume30d_ts,1672842873
last_taker_volume30d_ts,1672842905
last_filler_volume30d_ts,1669909812
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,23632435
userfees.total_fee_rebate,474285
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
