,0
authority,DRifT64mjSNa8PR1MiSbYyWiFqLkAN54qe1ax1Me6cbo
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,31487218
taker_volume30d,107041646
filler_volume30d,0
last_maker_volume30d_ts,1677048278
last_taker_volume30d_ts,1677048177
last_filler_volume30d_ts,1675831417
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,65498
userfees.total_fee_rebate,6558
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
