,0
authority,2diX1Sor7SBwQy683e78b2PrAQZxaKBYHwfVXH7D5f1v
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,212209243
taker_volume30d,20987967599
filler_volume30d,0
last_maker_volume30d_ts,1676644551
last_taker_volume30d_ts,1676646410
last_filler_volume30d_ts,1667755174
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,23745298
userfees.total_fee_rebate,70891
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
