,0
authority,D8rBqgf8ohPEocm2vPbvHSM3gPKpnFpoksEcFofKwKTT
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1515383879
taker_volume30d,91463320063
filler_volume30d,0
last_maker_volume30d_ts,1673486098
last_taker_volume30d_ts,1674157636
last_filler_volume30d_ts,1671586547
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,121231424
userfees.total_fee_rebate,313599
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
