,0
authority,2sGRVk5C3q5fMg86L5N7oW1ukeQQBF5BpCm1Q6jETq3J
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1549538267
taker_volume30d,13611814577
filler_volume30d,0
last_maker_volume30d_ts,1679935961
last_taker_volume30d_ts,1680193006
last_filler_volume30d_ts,1674648807
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,22803067
userfees.total_fee_rebate,496874
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
