,0
authority,1ucYHAGrBbi1PaecC4Ptq5ocZLWGLBmbGWysoDGNB1N
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,293995105381
taker_volume30d,310711997640
filler_volume30d,6653714354
last_maker_volume30d_ts,1673674906
last_taker_volume30d_ts,1673674938
last_filler_volume30d_ts,1672554801
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,409923119
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
