,0
authority,66ogvD5uF5kTBkmsDY1V4jSGWZeLpQEhUwq1qJVjAWN8
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2345346718
taker_volume30d,492078029591
filler_volume30d,0
last_maker_volume30d_ts,1671598055
last_taker_volume30d_ts,1671725760
last_filler_volume30d_ts,1669765658
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,559477133
userfees.total_fee_rebate,491411
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
