,0
authority,8yyCjWx1bYGgX9UisYy9TwzrEZMGVfrvtsR7RmkZXLpx
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,14603366062
taker_volume30d,54754407278
filler_volume30d,0
last_maker_volume30d_ts,1673672395
last_taker_volume30d_ts,1674059046
last_filler_volume30d_ts,1673672223
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,62541134
userfees.total_fee_rebate,2920752
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
