,0
authority,arbJEWqPDYfgTFf3CdACQpZrk56tB6z7hPFc6K9KLUi
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,91242755181
taker_volume30d,302398029649
filler_volume30d,15599004844
last_maker_volume30d_ts,1673904546
last_taker_volume30d_ts,1673922804
last_filler_volume30d_ts,1672346798
if_staked_quote_asset_amount,2122413
number_of_sub_accounts,4
number_of_sub_accounts_created,5
is_referrer,False
userfees.total_fee_paid,1091223823
userfees.total_fee_rebate,22866640
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
