,0
authority,8nfMk3wJGcKMB7yYSjnzfHSR9AemeDhaF5hveP3U51a6
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,21840000
taker_volume30d,19948669248
filler_volume30d,0
last_maker_volume30d_ts,1671517036
last_taker_volume30d_ts,1671519439
last_filler_volume30d_ts,1671516765
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,19960623
userfees.total_fee_rebate,4368
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
