,0
authority,7wsEASX543yQWNFFwkjCN7RKqLkKRJrhGyecphgfqsyA
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1142355086
taker_volume30d,668528883
filler_volume30d,0
last_maker_volume30d_ts,1675781497
last_taker_volume30d_ts,1675262371
last_filler_volume30d_ts,1673533819
if_staked_quote_asset_amount,0
number_of_sub_accounts,4
number_of_sub_accounts_created,4
is_referrer,False
userfees.total_fee_paid,889662
userfees.total_fee_rebate,446390
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
