,0
authority,DGNwGqo5UFhoAHtTv8dpsiDhp4uyXePEpANZnLuJ9xvV
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,345536126
taker_volume30d,697618574
filler_volume30d,0
last_maker_volume30d_ts,1673053832
last_taker_volume30d_ts,1673052280
last_filler_volume30d_ts,1671765659
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,610524
userfees.total_fee_rebate,35595
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
