,0
authority,3bXPcKp56ALDpRRT2b2YkuFdjSWMH9XpR8jQPuAJagUY
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,14290116784
taker_volume30d,135201972608
filler_volume30d,0
last_maker_volume30d_ts,1674258436
last_taker_volume30d_ts,1674258455
last_filler_volume30d_ts,1671201830
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,247626353
userfees.total_fee_rebate,4022372
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
