,0
authority,5Zz5metrnuLxrQRzNPycEHx6R6getQz2jMfqkr24bhM4
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,42992056707
taker_volume30d,17906066456
filler_volume30d,0
last_maker_volume30d_ts,1674282798
last_taker_volume30d_ts,1674256420
last_filler_volume30d_ts,1671456678
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,26612551
userfees.total_fee_rebate,6977669
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
