,0
authority,GvQy1MRaMGQW3tx46Af8d5U9TAmnmYHt9aXy3TGrtR5T
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,12902539446
taker_volume30d,330816884461
filler_volume30d,0
last_maker_volume30d_ts,1680301668
last_taker_volume30d_ts,1680302340
last_filler_volume30d_ts,1671735308
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1344842308
userfees.total_fee_rebate,26028103
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
