,0
authority,FtX77ptpseJTdgbJgD7cwFaeHVmKVvPnDdvjHfTwQEwb
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,365798780
taker_volume30d,996022134
filler_volume30d,0
last_maker_volume30d_ts,1672770640
last_taker_volume30d_ts,1672765530
last_filler_volume30d_ts,1670361763
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1818305
userfees.total_fee_rebate,75136
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
