,0
authority,7a4CpZ7SE8AbJtRtjw9kgu82ddyYg8eCkPHt1cPXJ77S
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,42251395644
taker_volume30d,133245592229
filler_volume30d,0
last_maker_volume30d_ts,1677014765
last_taker_volume30d_ts,1677071245
last_filler_volume30d_ts,1671766668
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,258764342
userfees.total_fee_rebate,12853567
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
