,0
authority,7a4CpZ7SE8AbJtRtjw9kgu82ddyYg8eCkPHt1cPXJ77S
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2538226318
taker_volume30d,70738300188
filler_volume30d,0
last_maker_volume30d_ts,1673741133
last_taker_volume30d_ts,1673805883
last_filler_volume30d_ts,1671766668
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,73743498
userfees.total_fee_rebate,509015
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
