,0
authority,6y4a5FBwvxLLCMCRqPbrvSMqMaZfZ2U16PfmLwXZK7mv
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,4182143901
filler_volume30d,0
last_maker_volume30d_ts,1671161792
last_taker_volume30d_ts,1672534109
last_filler_volume30d_ts,1671161792
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,4457744
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
