,0
authority,Arowxgtd922ZtAW8dMi57NJ9xcGbzyMejSprifoVw1r1
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,23779279182
taker_volume30d,185300402405
filler_volume30d,0
last_maker_volume30d_ts,1673545092
last_taker_volume30d_ts,1673545252
last_filler_volume30d_ts,1671635031
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,304887828
userfees.total_fee_rebate,5194503
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
