,0
authority,8dCRs7SYLTDZTVBJYBW8AxYcEpJfSqV6nDoRxtgDHiEj
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,6408142268
taker_volume30d,4795022294
filler_volume30d,0
last_maker_volume30d_ts,1672242729
last_taker_volume30d_ts,1672303920
last_filler_volume30d_ts,1671352084
if_staked_quote_asset_amount,0
number_of_sub_accounts,3
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,5146193
userfees.total_fee_rebate,159087
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
