,0
authority,H7bXkD48N8NA3swwJzQegSXFHgTex9A8YcrLRqrKdY9T
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,385496910245
taker_volume30d,247894694917
filler_volume30d,0
last_maker_volume30d_ts,1679392427
last_taker_volume30d_ts,1679419712
last_filler_volume30d_ts,1676921073
if_staked_quote_asset_amount,0
number_of_sub_accounts,4
number_of_sub_accounts_created,4
is_referrer,False
userfees.total_fee_paid,385643530
userfees.total_fee_rebate,92678004
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
