,0
authority,7D1m9hDCFxUUYFPSnAT5AHk4XRYFnKP45sPS93JZKriQ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,149255280
taker_volume30d,2111489139
filler_volume30d,0
last_maker_volume30d_ts,1673365311
last_taker_volume30d_ts,1673400743
last_filler_volume30d_ts,1673354028
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,2117803
userfees.total_fee_rebate,29851
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
