,0
authority,97dE7tmwRaaCzFawv9y9DjXou2rgt4e4qQAFsEUSV11m
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,5436644912
taker_volume30d,2594777196
filler_volume30d,0
last_maker_volume30d_ts,1680056552
last_taker_volume30d_ts,1680064844
last_filler_volume30d_ts,1679667435
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,2626386
userfees.total_fee_rebate,751760
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
