,0
authority,EoSF2yWPhu4Dc4ULqpTj3tgVEfBxt9F43YdAAHrWueet
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,15585851225
taker_volume30d,53451455940
filler_volume30d,0
last_maker_volume30d_ts,1676858768
last_taker_volume30d_ts,1676859141
last_filler_volume30d_ts,1675930347
if_staked_quote_asset_amount,0
number_of_sub_accounts,0
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,63584126
userfees.total_fee_rebate,3385039
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
