,0
authority,7nAuS5Moxx5paLxFtdotP9R5bCncR8PwFjdL558Pjhu4
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1656580000
taker_volume30d,41951826176
filler_volume30d,0
last_maker_volume30d_ts,1673690246
last_taker_volume30d_ts,1673690513
last_filler_volume30d_ts,1673594342
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,43234992
userfees.total_fee_rebate,331316
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
