,0
authority,CMHbcojCWRy7A7B64ECnQK65m56EpmuyDwPpEjcQmBRg
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,182225745272
taker_volume30d,693654965261
filler_volume30d,0
last_maker_volume30d_ts,1672250659
last_taker_volume30d_ts,1672246135
last_filler_volume30d_ts,1668996848
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,936551843
userfees.total_fee_rebate,29886971
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
