,0
authority,thorhbpRshVjT6aDF2bG3SAa8zV2q95y6dJGtoBXbUd
referrer,PLUmqmrbyEad3EpM4RxyJd1JrBcmAWkohP5XEgxEGSY
next_epoch_ts,0
maker_volume30d,52772168
taker_volume30d,52804899
filler_volume30d,0
last_maker_volume30d_ts,1681146278
last_taker_volume30d_ts,1681146290
last_filler_volume30d_ts,1681029269
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,50450
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,2440
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
