,0
authority,6m3SRXZSEgWjJnANLhc8cPbPLj4GZ1g6fkVfop1ewJLr
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,748974009
taker_volume30d,2170491234
filler_volume30d,0
last_maker_volume30d_ts,1673023890
last_taker_volume30d_ts,1673024385
last_filler_volume30d_ts,1673023644
if_staked_quote_asset_amount,0
number_of_sub_accounts,0
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,2170625
userfees.total_fee_rebate,149795
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
