,0
authority,CHD9nxUnxs8JPwKn2vyb69KahjMH8bvRTadunK8SqX5Y
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,130181107
taker_volume30d,160553820
filler_volume30d,2650122184661
last_maker_volume30d_ts,1673622748
last_taker_volume30d_ts,1673623559
last_filler_volume30d_ts,1673641813
if_staked_quote_asset_amount,0
number_of_sub_accounts,4
number_of_sub_accounts_created,4
is_referrer,False
userfees.total_fee_paid,162267
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
