,0
authority,7fRSQUiRzuR99ABPsk3fGi3Wq1T3uGYgHjfYP1KxE3bV
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,14637495
taker_volume30d,52668009
filler_volume30d,0
last_maker_volume30d_ts,1672099280
last_taker_volume30d_ts,1672211885
last_filler_volume30d_ts,1671970334
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,54971
userfees.total_fee_rebate,2965
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
