,0
authority,7fRSQUiRzuR99ABPsk3fGi3Wq1T3uGYgHjfYP1KxE3bV
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,32421573
taker_volume30d,63740896
filler_volume30d,0
last_maker_volume30d_ts,1674832527
last_taker_volume30d_ts,1674857454
last_filler_volume30d_ts,1671970334
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,117549
userfees.total_fee_rebate,9571
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
