,0
authority,FUG9tcLbLgaRB1WtF9FYRM1zNwRJ2yiWufUAGKbnCABH
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,3111318933
taker_volume30d,177358726104
filler_volume30d,0
last_maker_volume30d_ts,1674539531
last_taker_volume30d_ts,1680512620
last_filler_volume30d_ts,1670422279
if_staked_quote_asset_amount,0
number_of_sub_accounts,3
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,443883708
userfees.total_fee_rebate,840075
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
