,0
authority,DaJuiSXTrQxE52RGE2hWjtHeiWwpfqUYb3oW5keuZVrg
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,39890033588
taker_volume30d,208926632955
filler_volume30d,0
last_maker_volume30d_ts,1679775895
last_taker_volume30d_ts,1680147639
last_filler_volume30d_ts,1678203855
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,263884645
userfees.total_fee_rebate,9939900
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
