,0
authority,DaJuiSXTrQxE52RGE2hWjtHeiWwpfqUYb3oW5keuZVrg
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,18777037208
taker_volume30d,195367238147
filler_volume30d,0
last_maker_volume30d_ts,1681222755
last_taker_volume30d_ts,1681305728
last_filler_volume30d_ts,1678203855
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,338187722
userfees.total_fee_rebate,10170637
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
