,0
authority,DHfy6B2AYsqMCxPLBCXMDfQn3Gr2VwJaLFHUZKqpCjsb
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1863981
taker_volume30d,1391773721
filler_volume30d,0
last_maker_volume30d_ts,1672323258
last_taker_volume30d_ts,1672346246
last_filler_volume30d_ts,1671565323
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,765538
userfees.total_fee_rebate,372
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
