,0
authority,E25ks58fFpPgL8oJR7jiesNZdwpmBp7rfsTfoEh11wXc
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,3129350420
taker_volume30d,312137381
filler_volume30d,0
last_maker_volume30d_ts,1675103556
last_taker_volume30d_ts,1674060292
last_filler_volume30d_ts,1669899772
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,427079
userfees.total_fee_rebate,679598
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
