,0
authority,86ngWqgmxyfAuSGos6pnC2aLAMmddQtM1xPD71afNKF4
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,205462607723
taker_volume30d,80767565926
filler_volume30d,0
last_maker_volume30d_ts,1678316219
last_taker_volume30d_ts,1678410935
last_filler_volume30d_ts,1672021663
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,141158482
userfees.total_fee_rebate,47155061
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
