,0
authority,F6nKS2xCdfSnezuytbyS8FN3HsM1DjyyWthr7YnYtCwC
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,89496974
taker_volume30d,16837047455
filler_volume30d,0
last_maker_volume30d_ts,1673273831
last_taker_volume30d_ts,1673591919
last_filler_volume30d_ts,1673261237
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,17843045
userfees.total_fee_rebate,17917
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
