,0
authority,8yecAeSzniCU9kSBbfchGiCjQBMVg45926up9TjUPiG5
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,5486956064
taker_volume30d,52143583290
filler_volume30d,0
last_maker_volume30d_ts,1674497505
last_taker_volume30d_ts,1674484361
last_filler_volume30d_ts,1673397464
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,68551061
userfees.total_fee_rebate,1400847
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
