,0
authority,JC5M9YCutYhZByRRcNZL4bnTVgEqPXr23gvGBhei9pJV
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,115801415748
taker_volume30d,549986370810
filler_volume30d,0
last_maker_volume30d_ts,1673959956
last_taker_volume30d_ts,1673964298
last_filler_volume30d_ts,1670974374
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,867255284
userfees.total_fee_rebate,31696603
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
