,0
authority,5jHcwjL6mmvgWEvTkPk3Ps6Fu7M6moiocASQuBLmbX4f
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,18228614308
taker_volume30d,106239190730
filler_volume30d,0
last_maker_volume30d_ts,1681145700
last_taker_volume30d_ts,1681177888
last_filler_volume30d_ts,1678927131
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,119971897
userfees.total_fee_rebate,3665034
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
