,0
authority,2QWDmwsurUwoQFzrs5avkHtuQZS8k9TYBrXXkev3UDCv
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,3655848096
taker_volume30d,30421919114
filler_volume30d,0
last_maker_volume30d_ts,1677441733
last_taker_volume30d_ts,1677466137
last_filler_volume30d_ts,1667831321
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,56969761
userfees.total_fee_rebate,1008246
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
