,0
authority,3454ge1Sveck67g9HunH2ShwvbpeyK3zEDiyP3FRPHk2
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,5913032356
taker_volume30d,1276051600
filler_volume30d,0
last_maker_volume30d_ts,1674248279
last_taker_volume30d_ts,1674248162
last_filler_volume30d_ts,1673931758
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1288723
userfees.total_fee_rebate,388247
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
