,0
authority,HhLJA5EWvJygtKksWp9xGYFYgdSdtrz4Mpd1VhPzC5Ae
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,10778025658
taker_volume30d,160292895300
filler_volume30d,0
last_maker_volume30d_ts,1676484071
last_taker_volume30d_ts,1676493009
last_filler_volume30d_ts,1669209577
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,295334425
userfees.total_fee_rebate,2282862
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
