,0
authority,9kCzTDoGbr68jAJBm4aK5yfdyeK7dmjb3LDCwnGi9rc4
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,575718329036
taker_volume30d,885327946399
filler_volume30d,0
last_maker_volume30d_ts,1680300355
last_taker_volume30d_ts,1680286330
last_filler_volume30d_ts,1678647731
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1097839941
userfees.total_fee_rebate,150704695
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
