,0
authority,5AYSUvY7bWF9yZYvxvEcVJVsAsaqSKSZKJxjh9Rt7zVJ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,5117236610
taker_volume30d,8647320676
filler_volume30d,0
last_maker_volume30d_ts,1673740573
last_taker_volume30d_ts,1673700200
last_filler_volume30d_ts,1673538190
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,9135819
userfees.total_fee_rebate,1058436
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
