,0
authority,BjCNaM7YbE9SjFi7tzi4677zg1fKXGJwtecz2GWwWuhd
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,25635836913
taker_volume30d,50573404650
filler_volume30d,0
last_maker_volume30d_ts,1672020189
last_taker_volume30d_ts,1672011266
last_filler_volume30d_ts,1669238757
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,82587875
userfees.total_fee_rebate,1492210
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
