,0
authority,HfRH3JeKFL399DkU3omcbiXjKvfdVq8YuXBN1rtrcwxz
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2698252501
taker_volume30d,6571601342
filler_volume30d,0
last_maker_volume30d_ts,1673852293
last_taker_volume30d_ts,1674157063
last_filler_volume30d_ts,1667777511
if_staked_quote_asset_amount,0
number_of_sub_accounts,4
number_of_sub_accounts_created,4
is_referrer,False
userfees.total_fee_paid,34350577
userfees.total_fee_rebate,812386
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
