,0
authority,HfRH3JeKFL399DkU3omcbiXjKvfdVq8YuXBN1rtrcwxz
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1661669948
taker_volume30d,6855251494
filler_volume30d,0
last_maker_volume30d_ts,1673228655
last_taker_volume30d_ts,1673297347
last_filler_volume30d_ts,1667777511
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,32229639
userfees.total_fee_rebate,518386
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
