,0
authority,4nYxgt5umwwU2fdcDQGBhL4u8AN298Z8KV2HKCL2P1QJ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2130631224
taker_volume30d,16060316875
filler_volume30d,0
last_maker_volume30d_ts,1672551764
last_taker_volume30d_ts,1673053074
last_filler_volume30d_ts,1669994251
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,21204551
userfees.total_fee_rebate,443668
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
