,0
authority,4nYxgt5umwwU2fdcDQGBhL4u8AN298Z8KV2HKCL2P1QJ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,4099248110
taker_volume30d,35197929269
filler_volume30d,0
last_maker_volume30d_ts,1675280491
last_taker_volume30d_ts,1675382337
last_filler_volume30d_ts,1669994251
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,62799311
userfees.total_fee_rebate,1642652
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
