,0
authority,FetTyW8xAYfd33x4GMHoE7hTuEdWLj1fNnhJuyVMUGGa
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,33358478345169
taker_volume30d,51400812083788
filler_volume30d,0
last_maker_volume30d_ts,1681021438
last_taker_volume30d_ts,1681021435
last_filler_volume30d_ts,1670700374
if_staked_quote_asset_amount,70932152965
number_of_sub_accounts,4
number_of_sub_accounts_created,4
is_referrer,False
userfees.total_fee_paid,41587906180
userfees.total_fee_rebate,8973619515
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
